path,e_bind_eV,e_bind_kcal
O-head-7.0,0.04723543999997837,1.089291758295501
O-head-6.5,0.046555240000001774,1.073605734116041
O-head-6.0,0.04532991999999858,1.0453487521279672
O-head-5.5,0.04307490999999963,0.9933461920189915
O-head-5.0,0.03887403999999428,0.8964703490358681
O-head-4.5,0.031250389999994965,0.7206621187508839
O-head-4.0,0.016690959999975163,0.3849085594634272
O-head-3.5,-0.010259630000009068,-0.2365963014672091
O-head-3.0,-0.05915291000002476,-1.364119342219571
O-head-2.8,-0.11694440000002437,-2.696843113960562
O-head-2.6,-0.14277904000002373,-3.292613163536547
O-head-2.5,-0.1522419300000042,-3.5108359235370967
O-head-2.387,-0.15598081000001862,-3.5970578613294295
O-head-2.2,-0.12502824000000778,-2.8832637398161793
O-head-2.1,-0.06935358000001379,-1.5993559730223181
O-head-2.0,0.0377112499999992,0.8696553651249815
O-head-1.8,0.5581225800000009,12.870809005122021
O-head-1.6,2.009967759999993,46.35166551658384
